FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
8714800036016,בוואריה בטעם מנגו ופ,0,2490,0,,יחידה,0,0,בוואריה בטעם מנגו ופסיפלורה שישייה 330 מ,,,,,,,,,,,,,,,,,,,,,,,,1
8715035150300,רוטב סויה קיקומן ללא,0,1990,796,12,100 מל,25000,0,רוטב סויה קיקומן ללא גלוטן 250 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8715700419718,קטשופ היינץ 910ג,0,1190,131,11,100 גרם,91000,0,קטשופ היינץ 910ג,,,,,,,,,,,,,,,,,,,,,,,,1
8717038900562,וודקה פורטי 750 מל,0,9990,1332,12,100 מל,75000,0,וודקה פורטי 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717038900579,וודקה סופר פרמיום מי,0,9990,1332,12,100 מל,75000,0,וודקה סופר פרמיום מידנייט מלון 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717038900586,וודקה סופר פרמיום מי,0,9990,1332,12,100 מל,75000,0,וודקה סופר פרמיום מידנייט אסאי בלוברי 75,,,,,,,,,,,,,,,,,,,,,,,,1
8717038900593,וודקה סופר פרמיום מי,0,9990,1332,12,100 מל,75000,0,וודקה סופר פרמיום מידנייט אננס 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647202,אקס בודי ספריי אנרכי,0,1490,993,12,100 מל,15000,0,אקס בודי ספריי אנרכי גברים 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647226,אקס בודי ספריי בלק 1,0,1490,993,12,100 מל,15000,0,אקס בודי ספריי בלק 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647233,אקס ספריי גוף לגברבל,0,1490,993,12,100 מל,15000,0,אקס ספריי גוף לגברבלאק נייט 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647240,אקס בודי ספריי שוקול,0,1490,993,12,100 מל,15000,0,אקס בודי ספריי שוקולד 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647257,אקס ספריי גוף לגבר ג,0,1490,993,12,100 מל,15000,0,אקס ספריי גוף לגבר גולד 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647264,אקס דאודורנט ספריי ג,0,1490,993,12,100 מל,15000,0,אקס דאודורנט ספריי גוף לגבר קוקיז 150 מ,,,,,,,,,,,,,,,,,,,,,,,,1
8717163647318,אקס אנטי פרספירנט ספ,0,1490,993,12,100 מל,15000,0,אקס אנטי פרספירנט ספריי אורבן 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163666753,אקס ספריי אנטיפרספרנ,0,1490,993,12,100 מל,15000,0,אקס ספריי אנטיפרספרנט אייס ציל 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8717163891735,רקסונה מן ספריי וורק,0,1990,1327,12,100 מל,15000,0,רקסונה מן ספריי וורקאוט 150 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718104900028,בירה רויאל דוצ' זהב,0,890,178,12,100 מל,50000,0,בירה רויאל דוצ' זהב  500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718104901162,בירה רויאל פחית,0,450,0,,יחידה,0,0,בירה רויאל פחית,,,,,,,,,,,,,,,,,,,,,,,,1
8718104903159,בירה רויאל דוצ' שחור,0,890,178,12,100 מל,50000,0,בירה רויאל דוצ' שחור  500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718104903326,בירה רויאל דוצ' סגול,0,990,198,12,100 מל,50000,0,בירה רויאל דוצ' סגול 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718114615165,דאב מסכה שיקום אינטנ,0,3000,1500,12,100 מל,20000,0,דאב מסכה שיקום אינטנס 200 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718309252212,צמד בקבוקי 1/2ליטר ב,0,2500,0,,יחידה,0,0,צמד בקבוקי 1/2ליטר בנים,,,,,,,,,,,,,,,,,,,,,,,,1
8718309252717,צמד בקבוקי 1/2ליטר ב,0,2500,0,,יחידה,0,0,צמד בקבוקי 1/2ליטר בנות,,,,,,,,,,,,,,,,,,,,,,,,1
8718692610835,שלישיית בקבוקי פיוז,0,5990,0,,יחידה,0,0,שלישיית בקבוקי פיוז,,,,,,,,,,,,,,,,,,,,,,,,1
8718692611702,סודה קלאב סירופ ילדי,0,1500,200,12,100 מל,75000,0,סודה קלאב סירופ ילדים תפוח מופתע 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718692611719,סודה קלאב סירופ ילדי,0,1500,200,12,100 מל,75000,0,סודה קלאב סירופ ילדים תות מבסוט 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718692611726,סודה קלאב סירופ ילדי,0,1500,200,12,100 מל,75000,0,סודה קלאב סירופ ילדים ענבים שובבים 750 מ,,,,,,,,,,,,,,,,,,,,,,,,1
8718692615762,סודה סטרים סירופ דל,0,1490,339,12,100 מל,44000,0,סודה סטרים סירופ דל קלוריות בטעם קולה 44,,,,,,,,,,,,,,,,,,,,,,,,1
8718692615816,סודה סטרים סירופ בטע,0,1490,339,12,100 מל,44000,0,סודה סטרים סירופ בטעם משקה אנרגיה 440 מ,,,,,,,,,,,,,,,,,,,,,,,,1
8718951079205,קולגייט סנסטיב פרו ר,0,2390,3187,12,100 מל,7500,0,קולגייט סנסטיב פרו ריליף רפיר אנד פריוונ,,,,,,,,,,,,,,,,,,,,,,,,1
8718951119338,אג'קס ספרי מסיר שומנ,0,1490,0,,יחידה,0,0,אג'קס ספרי מסיר שומנים לתנור 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718951248656,פלמוליב תחליב רחצה פ,0,1590,318,12,100 מל,50000,0,פלמוליב תחליב רחצה פרוטאין 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718951254527,קולגייט סנסיטיב פרו,0,2390,3187,12,100 מל,7500,0,קולגייט סנסיטיב פרו רליף אקסטרה סטרנגט 7,,,,,,,,,,,,,,,,,,,,,,,,1
8718951265103,קולגייט מברשת אולטרה,0,3290,0,,יחידה,0,0,קולגייט מברשת אולטרה סופט זוג,,,,,,,,,,,,,,,,,,,,,,,,1
8718951268869,פלמוליב ג'ל וחצה סאן,0,1590,318,12,100 מל,50000,0,פלמוליב ג'ל וחצה סאן קיס 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
8718951296794,פלמוליב סבון נוזלי ח,0,1590,318,12,100 מל,50000,0,פלמוליב סבון נוזלי חלב ודבש 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
