FULLBARCODE,ITEMNAME,ISWEIGHT,PRICEEX1,FLDPRICEUNIT,UNITID,UNITNAME,UNITQTYX100,FPRICEEX4,FULLDESCRIPTION,PROMONUM,DESCRIPTION,STARTDATE,STARTTIME,ENDDATE,ENDTIME,ISWEIGHTEDPROMO,ADDITIONALISCOUPON,ADDITIONALGIFTCOUNT,MINPURCHASEAMOUNT,MINQTY,MINAMOUNT,MAXQTY,DISCOUNTTYPE,DISCOUNTRATE,DISCOUNTEDPRICE,DISCOUNTEDPRICEPERUNIT,CLUBID,ADDITIONALINFO,PROMOTYPE,PROMOTYPENAME,PROMOSUBTYPE,PROMOSUBTYPENAME,LASTINLIST
0000033902102,מצית להבה גמיש 16 בת,0,1000,0,,יחידה,0,0,מצית להבה גמיש 16 בתצוגה 8528F,,,,,,,,,,,,,,,,,,,,,,,,1
0000040000227,כרעיים 50 כחול מחוזק,0,40,0,,יחידה,0,0,כרעיים 50 כחול מחוזק,,,,,,,,,,,,,,,,,,,,,,,,1
0000040084107,קינדר ביצת הפתעה,0,590,0,,יחידה,0,0,קינדר ביצת הפתעה,,,,,,,,,,,,,,,,,,,,,,,,1
0000040786179,פחית לוונבראו 500 מ,0,1090,218,12,100 מל,50000,0,פחית לוונבראו 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000041001356,בירה בקס פחיות 500 מ,0,1090,218,12,100 מל,50000,0,בירה בקס פחיות 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000041024355,בירה ביטבורגר פחית 5,0,990,198,12,100 מל,50000,0,בירה ביטבורגר פחית 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000042040613,בירה ביקס 275 מל,0,690,251,12,100 מל,27500,0,בירה ביקס 275 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000042149996,בקס בקבוק   275 מל,0,590,215,12,100 מל,27500,0,בקס בקבוק   275 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000050120000,דאב רול און ללא סימן,0,1990,0,,יחידה,0,0,דאב רול און ללא סימן,,,,,,,,,,,,,,,,,,,,,,,,1
0000050775309,בירה מילר,0,990,0,,יחידה,0,0,בירה מילר,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079014,בירה סן ברנרדוס פיור,0,1690,512,12,100 מל,33000,0,בירה סן ברנרדוס פיור 8,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079021,בירה סן ברברדוס אבט,0,1790,542,12,100 מל,33000,0,בירה סן ברברדוס אבט,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079038,בירה סן ברנרדוס טריפ,0,1690,563,12,100 מל,30000,0,בירה סן ברנרדוס טריפל,,,,,,,,,,,,,,,,,,,,,,,,1
0000054079052,בירה ברנרדוס ויט-בר,0,1390,421,12,100 מל,33000,0,בירה ברנרדוס ויט-בר,,,,,,,,,,,,,,,,,,,,,,,,1
0000070000101,גליל ניילון לאריזה ס,0,8990,0,,יחידה,0,0,גליל ניילון לאריזה סטרץ,,,,,,,,,,,,,,,,,,,,,,,,1
0000072917688,אגוזי מגדים 45 גרם,0,400,0,,יחידה,0,0,אגוזי מגדים 45 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0000075032814,בירה קורונה 335 מל,0,1000,299,12,100 מל,33500,0,בירה קורונה 335 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000075033927,בירה קורונה 355 מל,0,890,251,12,100 מל,35500,0,בירה קורונה 355 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000080661245,יין מוסקט מוגז עדין,0,3990,532,12,100 מל,75000,0,יין מוסקט מוגז עדין מתוק קריסמיס 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087120158,היינקן פחית 330 מל,0,690,0,,יחידה,0,0,היינקן פחית 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087167016,בירה גרולש 473 מל,0,1590,336,12,100 מל,47300,0,בירה גרולש 473 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0000087250510,בירה רויאל פחית,0,450,0,,יחידה,0,0,בירה רויאל פחית,,,,,,,,,,,,,,,,,,,,,,,,1
0000090034107,בירה שטיגל גולדברו,0,1090,218,12,100 מל,50000,0,בירה שטיגל גולדברו 500 מל זכוכית,1220106,בירה שטיגל 500 מ ל 2 ב 17.90,2022-03-01,00:00:00,2022-04-03,23:59:00,,,,,2,,,,,17.9,8.95,,,4,מחיר קבוע,1,רגיל,1
0000910004000,כרטיס מופע סמי הכבאי,0,10000,0,,יחידה,0,0,כרטיס מופע סמי הכבאי,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253409,סיר קובאני אלומניום,0,2990,0,,יחידה,0,0,סיר קובאני אלומניום 26,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253436,מיכל מים קטן,0,1990,0,,יחידה,0,0,מיכל מים קטן,,,,,,,,,,,,,,,,,,,,,,,,1
0000970253514,סיר קובאני אלומניום,0,2690,0,,יחידה,0,0,סיר קובאני אלומניום 24,,,,,,,,,,,,,,,,,,,,,,,,1
0002103267188,מארז ארדינגר בהירה +,0,8990,0,,יחידה,0,0,מארז ארדינגר בהירה +כוס,,,,,,,,,,,,,,,,,,,,,,,,1
0004361001604,ברבוניה פס טרי,1,12000,0,,יחידה,0,0,ברבוניה פס טרי,,,,,,,,,,,,,,,,,,,,,,,,1
0006102121788,סט 6 כוסות 30 נמוך א,0,2690,0,,יחידה,0,0,סט 6 כוסות 30 נמוך איסלנד שקוף לומינארק,,,,,,,,,,,,,,,,,,,,,,,,1
0008112100298,מזרח ומערב יבוא שמן,0,1490,805,12,100 מל,18500,0,מזרח ומערב יבוא שמן שומשום טהור 185 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0008974475195,פולונארי קיאנטי  750,0,3990,532,12,100 מל,75000,0,פולונארי קיאנטי  750 מל DOC,,,,,,,,,,,,,,,,,,,,,,,,1
0009439000070,בירה  פולרס לונדון פ,0,1290,391,12,100 מל,33000,0,בירה  פולרס לונדון פרייד 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0009439000087,בירה פולר'ס  אי .אס.,0,1290,391,12,100 מל,33000,0,בירה פולר'ס  אי .אס.בי 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0009439002579,בירה פולר'ס לונדון פ,0,1290,391,12,100 מל,33000,0,בירה פולר'ס לונדון פורטר 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0009702530397,מלקחיים לחמוצים גדול,0,590,0,,יחידה,0,0,מלקחיים לחמוצים גדול,,,,,,,,,,,,,,,,,,,,,,,,1
0009702531757,מלקחיים לחמוצים,0,490,0,,יחידה,0,0,מלקחיים לחמוצים,,,,,,,,,,,,,,,,,,,,,,,,1
0009702532959,סיר קובאני אלומניום,0,2690,0,,יחידה,0,0,סיר קובאני אלומניום 24,,,,,,,,,,,,,,,,,,,,,,,,1
0009702533504,רשת למנגל בינונית עם,0,1990,0,,יחידה,0,0,רשת למנגל בינונית עם ידית 38 סמ,,,,,,,,,,,,,,,,,,,,,,,,1
0009702535098,קנקן + כוסות,0,5990,0,,יחידה,0,0,קנקן + כוסות,,,,,,,,,,,,,,,,,,,,,,,,1
0010000000526,סט כוסות גלידה,0,10000,0,,יחידה,0,0,סט כוסות גלידה,,,,,,,,,,,,,,,,,,,,,,,,1
0010000000670,כלי הגשה,0,18000,0,,יחידה,0,0,כלי הגשה,,,,,,,,,,,,,,,,,,,,,,,,1
0011210000032,טובסקו  משפחתי 350 מ,0,5500,1571,12,100 מל,35000,0,טובסקו  משפחתי 350 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0011210000094,טבסקו,0,980,0,,יחידה,0,0,טבסקו,,,,,,,,,,,,,,,,,,,,,,,,1
0011210002500,טבסקו רוטב כנפי באפא,0,2290,1527,12,100 מל,15000,0,טבסקו רוטב כנפי באפאלו 150מל,,,,,,,,,,,,,,,,,,,,,,,,1
0011210006508,רוטב טבסקו,0,1590,0,,יחידה,0,0,רוטב טבסקו,,,,,,,,,,,,,,,,,,,,,,,,1
0011210007253,רוטב טבסקו שום,0,980,0,,יחידה,0,0,רוטב טבסקו שום,,,,,,,,,,,,,,,,,,,,,,,,1
0011210009387,רוטב ירוק 60 מל,0,980,0,,יחידה,0,0,רוטב ירוק 60 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0011210607040,טבסקו פלפל צפוטלי חר,0,990,0,,יחידה,0,0,טבסקו פלפל צפוטלי חריף 60 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0011210618503,טבסקו סקורפיון 60 מ,0,1590,0,,יחידה,0,0,טבסקו סקורפיון 60 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0011210698055,טבסקו סרירצ'ה 566 גר,0,2890,511,11,100 גרם,56600,0,טבסקו סרירצ'ה 566 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0013112710482,צלחת לסלט,0,890,0,,יחידה,0,0,צלחת לסלט,,,,,,,,,,,,,,,,,,,,,,,,1
0024000181590,חצאי אפרסק 825 גרם,0,1100,133,11,100 גרם,82500,0,חצאי אפרסק 825 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675120020,חמצוצים מקלות פטל 10,0,790,790,11,100 גרם,10000,0,חמצוצים מקלות פטל 100 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675120037,חמצוצים מקלות תות 10,0,790,790,11,100 גרם,10000,0,חמצוצים מקלות תות 100 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675120044,חמצוצים מקלות תפוח ע,0,790,790,11,100 גרם,10000,0,חמצוצים מקלות תפוח עץ 100 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675301108,חמצוצים מקלות  תות 5,0,450,0,,יחידה,0,0,חמצוצים מקלות  תות 50 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675301153,חמצוצים מקלות פטל  5,0,450,0,,יחידה,0,0,חמצוצים מקלות פטל  50 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675301184,חמצוצים מקלות קולה 5,0,450,0,,יחידה,0,0,חמצוצים מקלות קולה 50 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0025675301207,חמצוצים מקלות תפוח ע,0,450,0,,יחידה,0,0,חמצוצים מקלות תפוח עץ 50 גר,,,,,,,,,,,,,,,,,,,,,,,,1
0038900770174,קוקטייל פירות טרופי,0,1190,175,11,100 גרם,68100,0,קוקטייל פירות טרופי 3*227 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0041390001079,קיקומן רוטב סויה דל,0,1990,448,12,100 מל,44400,0,קיקומן רוטב סויה דל נתרן 444 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0041390010309,קיקומן רוטב טריאקי 4,0,1990,448,12,100 מל,44400,0,קיקומן רוטב טריאקי 444  מל,,,,,,,,,,,,,,,,,,,,,,,,1
0044164382527,נרות נשמה 24 שעות- ר,0,190,0,,יחידה,0,0,נרות נשמה 24 שעות- ר. שמאי,,,,,,,,,,,,,,,,,,,,,,,,1
0044600300580,כלורקס מתז אקונומיקה,0,1990,0,,יחידה,0,0,כלורקס מתז אקונומיקה 99.9%,,,,,,,,,,,,,,,,,,,,,,,,1
0052018112600,א סל ציפס מרובע קטן,0,2990,0,,יחידה,0,0,א סל ציפס מרובע קטן להגשה 8*10.5*12סמ,,,,,,,,,,,,,,,,,,,,,,,,1
0054881009188,תה שחור אינגליש 40 ש,0,790,20,,יחידה,4000,0,תה שחור אינגליש 40 שק,,,,,,,,,,,,,,,,,,,,,,,,1
0055500012046,כלורקס קלין אפ,0,1890,0,,יחידה,0,0,כלורקס קלין אפ,,,,,,,,,,,,,,,,,,,,,,,,1
0064144090051,תרסיס שמן פאם קנולה,0,1690,1142,12,100 מל,14800,0,תרסיס שמן פאם קנולה 148 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0073604001427,הרי גליל קברנה סובינ,0,3490,465,12,100 מל,75000,0,הרי גליל קברנה סוביניון 750מל,,,,,,,,,,,,,,,,,,,,,,,,1
0076840100989,גלידת בן גריס שוקולד,0,2500,500,12,100 מל,50000,0,גלידת בן גריס שוקולד עם מרשמלו 500 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0078652511137,סל כביסה מרובע גבוה,0,6990,6990,,יחידה,100,0,סל כביסה מרובע גבוה גמיש 44.5X45.5X66,,,,,,,,,,,,,,,,,,,,,,,,1
0080432400432,וויסקי שיבאס ריגאל 1,0,15990,1599,,יחידה,100000,0,וויסקי שיבאס ריגאל 12 שנה 1 ליטר,1220526,וויסקי שיבאס ריגאל 12 שנה ליטר ב 149.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,149.9,149.9,,,4,מחיר קבוע,1,רגיל,1
0080432402931,וויסקי שיבאס ריגאל 1,0,12990,1732,12,100 מל,75000,0,וויסקי שיבאס ריגאל 12 שנה-700 מל,1220524,וויסקי שיבאס ריגאל 12 שנה 700 מל ב 105.9,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,105.9,105.9,,,4,מחיר קבוע,1,רגיל,1
0080480005269,רום בקרדי קרטה נגרה-,0,12990,1732,12,100 מל,75000,0,רום בקרדי קרטה נגרה-שחור 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0080516138046,יין מבעבע ריוניט אפר,0,2690,359,12,100 מל,75000,0,יין מבעבע ריוניט אפרסק 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0080516138244,יין מבעבע ריוניט פטל,0,2790,372,12,100 מל,75000,0,יין מבעבע ריוניט פטל 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0080686003403,ויסקי גים בים שחור 7,0,13990,1865,12,100 מל,75000,0,ויסקי גים בים שחור 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0080686010401,ג'ים בים ריי ויסקי 7,0,8490,1132,12,100 מל,75000,0,ג'ים בים ריי ויסקי 750/12,,,,,,,,,,,,,,,,,,,,,,,,1
0080686034322,ויסקי גים בים שחור 7,0,13990,1865,12,100 מל,75000,0,ויסקי גים בים שחור 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0080686926870,פינאקל אפרסק,0,9990,0,,יחידה,0,0,פינאקל אפרסק,,,,,,,,,,,,,,,,,,,,,,,,1
0082184088654,ג'ק דניאלס סינגל באר,0,19990,2856,12,100 מל,70000,0,ג'ק דניאלס סינגל בארל 700 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0082184090442,ג'ק דניאלס 1 ליטר,0,14990,14990,2,ליטר,100,0,ג'ק דניאלס 1 ליטר,,,,,,,,,,,,,,,,,,,,,,,,1
0082184200698,ג'ק דניאלס 1 ליטר בא,0,15990,15990,2,ליטר,100,0,ג'ק דניאלס 1 ליטר באריזת מתכת,,,,,,,,,,,,,,,,,,,,,,,,1
0084279978727,יין גוורצטמינר פאלץ,0,4990,713,12,100 מל,70000,0,יין גוורצטמינר פאלץ לבן חצי יבש 700 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0084380422042,פרבדה וודקה 700 מל,0,11490,1641,12,100 מל,70000,0,פרבדה וודקה 700 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0084380422133,וודקה פרבדה ליטר,0,12490,12490,2,ליטר,100,0,וודקה פרבדה ליטר,,,,,,,,,,,,,,,,,,,,,,,,1
0084380987649,וודקה פרבדה 750 מל,0,9990,1332,12,100 מל,75000,0,וודקה פרבדה 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0085156515417,וודקה קטל 1 750 מל,0,11990,1599,12,100 מל,75000,0,וודקה קטל 1 750 מל,1217420,וודקה קטל 750 מ ל ב 99.90,2022-01-03,00:00:00,2022-04-03,23:59:00,,,,,1,,,,,99.9,99.9,,,4,מחיר קבוע,1,רגיל,1
0087000006928,קפטן מורגן בלק 750 מ,0,9990,1332,12,100 מל,75000,0,קפטן מורגן בלק 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0087666052819,רוטב סריראצ'ה סופר ח,0,2890,635,12,100 מל,45500,0,רוטב סריראצ'ה סופר חריף 455 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0087666052888,רוטב סריראצ'ה עם לימ,0,2890,635,12,100 מל,45500,0,רוטב סריראצ'ה עם לימון גראס 455 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0087692000051,בירה סמואל אדמס בוסט,0,1290,363,12,100 מל,35500,0,בירה סמואל אדמס בוסטון לאגר 355מל,,,,,,,,,,,,,,,,,,,,,,,,1
0087692100126,מארז בירה סמואל אדמס,0,7490,0,,יחידה,0,0,מארז בירה סמואל אדמס 355*6,,,,,,,,,,,,,,,,,,,,,,,,1
0088586000720,טו ויינז - קברנה סוב,0,4490,599,12,100 מל,75000,0,טו ויינז - קברנה סובניון 750 מל,1220394,יין טו ויינז 2 ב 80,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,2,,,,,80,40,,,4,מחיר קבוע,1,רגיל,1
0088586001109,טו ויינז - מרלו 750,0,4490,599,12,100 מל,75000,0,טו ויינז - מרלו 750 מל,1220394,יין טו ויינז 2 ב 80,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,2,,,,,80,40,,,4,מחיר קבוע,1,רגיל,1
0088586001338,שירז טו ווינס 750 מ,0,4490,599,12,100 מל,75000,0,שירז טו ווינס 750 מל,1220394,יין טו ויינז 2 ב 80,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,2,,,,,80,40,,,4,מחיר קבוע,1,רגיל,1
0088586403866,טו ויינז - שרדונה 75,0,4490,599,12,100 מל,75000,0,טו ויינז - שרדונה 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0088586418976,טו ויינז מרלו -קברננ,0,4490,0,,יחידה,0,0,טו ויינז מרלו -קברננה,,,,,,,,,,,,,,,,,,,,,,,,1
0088586421860,טו ויינז - ריזלינג 7,0,4490,599,,יחידה,75000,0,טו ויינז - ריזלינג 750 מל,1220394,יין טו ויינז 2 ב 80,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,2,,,,,80,40,,,4,מחיר קבוע,1,רגיל,1
0088586425868,טו ויינז -גוורצטרמינ,0,4490,599,12,100 מל,75000,0,טו ויינז -גוורצטרמינו 750 מל,1220394,יין טו ויינז 2 ב 80,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,2,,,,,80,40,,,4,מחיר קבוע,1,רגיל,1
0089041081056,מזרח ומערב יבוא שמן,0,1100,595,12,100 מל,18500,0,מזרח ומערב יבוא שמן צ'ילי 185 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0089819068227,יין ברינגר מיין אנד,0,5490,732,12,100 מל,75000,0,יין ברינגר מיין אנד ויין קברנה סובניון 7,,,,,,,,,,,,,,,,,,,,,,,,1
0089819068241,יין ברינגר מיין אנד,0,5490,732,12,100 מל,75000,0,יין ברינגר מיין אנד ויין מרלו 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0089819083947,יין ברינגר מיין אנד,0,5490,732,12,100 מל,75000,0,יין ברינגר מיין אנד ויין שנין בלאן 750 מ,,,,,,,,,,,,,,,,,,,,,,,,1
0090202162002,מצה עשירה  ביצים ירו,0,1490,497,11,100 גרם,30000,0,מצה עשירה  ביצים ירושלם 300 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0090202163009,מצה חיטה מלאה 300 גר,0,1390,463,11,100 גרם,30000,0,מצה חיטה מלאה 300 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0090202165003,מצה מעושרת בסיבים 40,0,1390,348,11,100 גרם,40000,0,מצה מעושרת בסיבים 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000041,פת אביב מיני מצות 20,0,1090,545,11,100 גרם,20000,0,פת אביב מיני מצות 200גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000065,מצות ביצים 300 גרם,0,2190,730,11,100 גרם,30000,0,מצות ביצים 300 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000188,קמח עוגה 500 גרם,0,1290,258,11,100 גרם,50000,0,קמח עוגה 500 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000331,מצה אורגנית 400 גרם,0,1790,448,11,100 גרם,40000,0,מצה אורגנית 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000348,מצות מצופות בטעם שוק,0,1590,795,11,100 גרם,20000,0,מצות מצופות בטעם שוקולד 200 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000393,מצות כוסמין מלא אורג,0,2190,548,11,100 גרם,40000,0,מצות כוסמין מלא אורגני 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000461,מצות ללא קמח חיטה 30,0,2490,830,11,100 גרם,30000,0,מצות ללא קמח חיטה 300 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000515,מצות שיפון 400 גרם,0,1390,348,11,100 גרם,40000,0,מצות שיפון 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000768,עוגיות יין כעכים 750,0,1590,212,11,100 גרם,75000,0,עוגיות יין כעכים 750 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000775,עוגיות יין,0,890,0,,יחידה,0,0,עוגיות יין,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000874,פרורי מאפה ללא קמח ח,0,1290,430,11,100 גרם,30000,0,פרורי מאפה ללא קמח חיטה 300 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086000881,עוגיות יין שוקו 400,0,990,248,11,100 גרם,40000,0,עוגיות יין שוקו 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086001178,עוגיות יין חצי מצופה,0,1590,398,11,100 גרם,40000,0,עוגיות יין חצי מצופה 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086001338,מצות אביב 1 קג,0,1490,1490,1,קג,100,0,מצות אביב 1 קג,,,,,,,,,,,,,,,,,,,,,,,,1
0096086001482,עוגיות לבביות  400 ג,0,1990,498,11,100 גרם,40000,0,עוגיות לבביות  400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096086001772,מצות 400 גרם,0,790,198,11,100 גרם,40000,0,מצות 400 גרם,,,,,,,,,,,,,,,,,,,,,,,,1
0096749021345,ברבן וויסקי אבן וילי,0,13990,1865,,יחידה,75000,0,ברבן וויסקי אבן ויליאמס,,,,,,,,,,,,,,,,,,,,,,,,1
0305210416383,וזלין תחליב גוף לגבר,0,2490,415,12,100 מל,60000,0,וזלין תחליב גוף לגבר 600 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0305213079004,וזלין תחליב גוף צהוב,0,2490,415,12,100 מל,60000,0,וזלין תחליב גוף צהוב לעור יבש 600 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0308910525744,אטריות אורז דקות ורמ,0,1090,240,11,100 גרם,45400,0,אטריות אורז דקות ורמיצ'לי  454ג,,,,,,,,,,,,,,,,,,,,,,,,1
0350061000560,יין ברון רוטברג  חצי,0,3190,0,,יחידה,0,0,יין ברון רוטברג  חצי יבש מבעבע,,,,,,,,,,,,,,,,,,,,,,,,1
0391516871365,מאגנרס אייריש סיידר,0,990,300,12,100 מל,33000,0,מאגנרס אייריש סיידר בקבוק 330 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0391516871679,מאגנרס אייריש אגסים,0,890,270,12,100 מל,33000,0,מאגנרס אייריש אגסים בקבוק 330 מל,1218618,מאגנרס אייריש אגסים 330 מ ל 3 ב 20,2022-02-01,00:00:00,2022-04-03,23:59:00,,,,,3,,,,,20,6.67,,,4,מחיר קבוע,1,רגיל,1
0608614319633,חבילת שבבים ספאן,0,4490,0,,יחידה,0,0,חבילת שבבים ספאן,,,,,,,,,,,,,,,,,,,,,,,,1
0608614319640,חבילת צ'אנקים הדרים,0,4490,0,,יחידה,0,0,חבילת צ'אנקים הדרים,,,,,,,,,,,,,,,,,,,,,,,,1
0608614319657,חבילת שבבים אלון,0,4490,0,,יחידה,0,0,חבילת שבבים אלון,,,,,,,,,,,,,,,,,,,,,,,,1
0633824102096,ואן גוך 750 מל,0,10990,1465,12,100 מל,75000,0,ואן גוך 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0633824102201,ואן גוך מלון 750 מל,0,13990,1865,12,100 מל,75000,0,ואן גוך מלון 750 מל,1220533,וודקה ואן גוך בטעמים 750 מ ל ב 129.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,129.9,129.9,,,4,מחיר קבוע,1,רגיל,1
0633824110435,ואן גוך אסאי 1 ליטר,0,17990,17990,2,ליטר,100,0,ואן גוך אסאי 1 ליטר,,,,,,,,,,,,,,,,,,,,,,,,1
0633824111838,ואן גוך אננס 750 מל,0,13990,1865,12,100 מל,75000,0,ואן גוך אננס 750 מל,1220533,וודקה ואן גוך בטעמים 750 מ ל ב 129.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,129.9,129.9,,,4,מחיר קבוע,1,רגיל,1
0633824138125,וואן גוך בלו 750 מל,0,11490,1532,12,100 מל,75000,0,וואן גוך בלו 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0633824139122,ואן גוך קרמל 750 מל,0,13990,1865,12,100 מל,75000,0,ואן גוך קרמל 750 מל,1220533,וודקה ואן גוך בטעמים 750 מ ל ב 129.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,129.9,129.9,,,4,מחיר קבוע,1,רגיל,1
0633824141125,ואן גוך אפרסק,0,13990,0,,יחידה,0,0,ואן גוך אפרסק,,,,,,,,,,,,,,,,,,,,,,,,1
0633824208040,ואן גוך וודקה דאבל א,0,13990,1865,12,100 מל,75000,0,ואן גוך וודקה דאבל אספרסו 750 מל,1220533,וודקה ואן גוך בטעמים 750 מ ל ב 129.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,129.9,129.9,,,4,מחיר קבוע,1,רגיל,1
0633824703392,וודקה ואן גוך 1 ליטר,0,12990,12990,2,ליטר,100,0,וודקה ואן גוך 1 ליטר,,,,,,,,,,,,,,,,,,,,,,,,1
0633824809582,וואן גוך בלק שרי 750,0,13990,1865,12,100 מל,75000,0,וואן גוך בלק שרי 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0633824913432,ואן גוך וודקה אסאי ב,0,13990,1865,12,100 מל,75000,0,ואן גוך וודקה אסאי בלוברי 750 מל,1220533,וודקה ואן גוך בטעמים 750 מ ל ב 129.90,2022-03-01,00:00:00,2022-05-01,23:59:00,,,,,1,,,,,129.9,129.9,,,4,מחיר קבוע,1,רגיל,1
0634682001538,באנרו ברוט פרימיום 7,0,3990,0,,יחידה,0,0,באנרו ברוט פרימיום 750מ,,,,,,,,,,,,,,,,,,,,,,,,1
0674545000865,טקילה דון חוליו אנחו,0,32500,4333,12,100 מל,75000,0,טקילה דון חוליו אנחו 750 מל,,,,,,,,,,,,,,,,,,,,,,,,1
0681131129855,בירה שלוס קורן 5% אל,0,650,130,12,100 מל,50000,0,בירה שלוס קורן 5% אלכוהל,1217465,בירה שלוס קורן  5005% מ ל 2 ב 11,2022-01-04,00:00:00,2022-04-03,23:59:00,,,,,2,,,,,11,5.5,,,4,מחיר קבוע,1,רגיל,1
0693493003841,מדליק פחם מוצק 48 קו,0,790,0,,יחידה,0,0,מדליק פחם מוצק 48 קוביות.,,,,,,,,,,,,,,,,,,,,,,,,1
0693493037587,סלמי פליאו פרוס,0,2790,0,,יחידה,0,0,סלמי פליאו פרוס,,,,,,,,,,,,,,,,,,,,,,,,1
0693493037594,סלמי צרפתי פרוס,0,2790,0,,יחידה,0,0,סלמי צרפתי פרוס,,,,,,,,,,,,,,,,,,,,,,,,1
